time_wall,time_perf,arrival_perf,rel_time,can_id,message,signal,full_signal,value
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,GAS_PEDAL_2,ENGINE_TORQUE_ESTIMATE,GAS_PEDAL_2.ENGINE_TORQUE_ESTIMATE,0
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,GAS_PEDAL_2,ENGINE_TORQUE_REQUEST,GAS_PEDAL_2.ENGINE_TORQUE_REQUEST,0
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,GAS_PEDAL_2,CAR_GAS,GAS_PEDAL_2.CAR_GAS,0
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,GAS_PEDAL_2,COUNTER,GAS_PEDAL_2.COUNTER,2
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,GAS_PEDAL_2,CHECKSUM,GAS_PEDAL_2.CHECKSUM,14
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,XMISSION_SPEED,ENGINE_DATA.XMISSION_SPEED,0.0
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,ENGINE_RPM,ENGINE_DATA.ENGINE_RPM,0
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,XMISSION_SPEED2,ENGINE_DATA.XMISSION_SPEED2,0.0
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,ODOMETER,ENGINE_DATA.ODOMETER,220
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,COUNTER,ENGINE_DATA.COUNTER,2
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,ENGINE_DATA,CHECKSUM,ENGINE_DATA.CHECKSUM,1
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,PEDAL_GAS,POWERTRAIN_DATA.PEDAL_GAS,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,ENGINE_RPM,POWERTRAIN_DATA.ENGINE_RPM,754
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,GAS_PRESSED,POWERTRAIN_DATA.GAS_PRESSED,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,ACC_STATUS,POWERTRAIN_DATA.ACC_STATUS,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,BOH_17C,POWERTRAIN_DATA.BOH_17C,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,BRAKE_SWITCH,POWERTRAIN_DATA.BRAKE_SWITCH,1
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,BOH2_17C,POWERTRAIN_DATA.BOH2_17C,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,BRAKE_PRESSED,POWERTRAIN_DATA.BRAKE_PRESSED,1
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,BOH3_17C,POWERTRAIN_DATA.BOH3_17C,0
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,COUNTER,POWERTRAIN_DATA.COUNTER,2
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,POWERTRAIN_DATA,CHECKSUM,POWERTRAIN_DATA.CHECKSUM,12
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,SELECTED_D,GEARBOX_CVT.SELECTED_D,0
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,SELECTED_N,GEARBOX_CVT.SELECTED_N,0
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,SELECTED_R,GEARBOX_CVT.SELECTED_R,0
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,SELECTED_P,GEARBOX_CVT.SELECTED_P,1
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,FORWARD_DRIVING_MODE,GEARBOX_CVT.FORWARD_DRIVING_MODE,0
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,CVT_UNKNOWN_1,GEARBOX_CVT.CVT_UNKNOWN_1,161
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,CVT_UNKNOWN_2,GEARBOX_CVT.CVT_UNKNOWN_2,161
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,SHIFTER_POSITION_VALID,GEARBOX_CVT.SHIFTER_POSITION_VALID,0
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,GEAR_SHIFTER,GEARBOX_CVT.GEAR_SHIFTER,1
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,CVT_UNKNOWN_3,GEARBOX_CVT.CVT_UNKNOWN_3,3
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,NOT_FORWARD_GEAR,GEARBOX_CVT.NOT_FORWARD_GEAR,1
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,COUNTER,GEARBOX_CVT.COUNTER,2
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,GEARBOX_CVT,CHECKSUM,GEARBOX_CVT.CHECKSUM,13
1778594382.838837,1866946.530545,1866946.529688,0.345308,0x91,KINEMATICS_ALT,LAT_ACCEL,KINEMATICS_ALT.LAT_ACCEL,-501.76
1778594382.838837,1866946.530545,1866946.529688,0.345308,0x91,KINEMATICS_ALT,COUNTER,KINEMATICS_ALT.COUNTER,2
1778594382.838837,1866946.530545,1866946.529688,0.345308,0x91,KINEMATICS_ALT,CHECKSUM,KINEMATICS_ALT.CHECKSUM,3
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,STEERING_SENSORS,STEER_ANGLE,STEERING_SENSORS.STEER_ANGLE,63.7
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,STEERING_SENSORS,STEER_ANGLE_RATE,STEERING_SENSORS.STEER_ANGLE_RATE,0
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,STEERING_SENSORS,COUNTER,STEERING_SENSORS.COUNTER,0
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,STEERING_SENSORS,CHECKSUM,STEERING_SENSORS.CHECKSUM,14
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,CONFIG_VALID,STEER_MOTOR_TORQUE.CONFIG_VALID,0
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,UNKNOWN_TORQUE_STATE_BIT,STEER_MOTOR_TORQUE.UNKNOWN_TORQUE_STATE_BIT,0
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,MOTOR_TORQUE,STEER_MOTOR_TORQUE.MOTOR_TORQUE,0
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,OUTPUT_DISABLED,STEER_MOTOR_TORQUE.OUTPUT_DISABLED,0
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,COUNTER,STEER_MOTOR_TORQUE.COUNTER,1
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,STEER_MOTOR_TORQUE,CHECKSUM,STEER_MOTOR_TORQUE.CHECKSUM,1
1778594382.839194,1866946.530902,1866946.529702,0.345665,0x1A4,VSA_STATUS,USER_BRAKE,VSA_STATUS.USER_BRAKE,4.21875
