time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594531.840753,1867095.532461,1867095.531932,0.345146,0x39,3,00 00 2A
1778594531.840812,1867095.532520,1867095.531955,0.345204,0x156,6,FF DC 00 00 07 0E
1778594531.840902,1867095.532610,1867095.531961,0.345294,0x130,8,01 3A 00 6F 00 00 04 0D
1778594531.840961,1867095.532669,1867095.531963,0.345353,0x158,8,00 00 00 00 00 00 17 02
1778594531.841021,1867095.532729,1867095.531965,0.345414,0x17C,8,00 00 02 E0 01 00 20 01
1778594531.841094,1867095.532802,1867095.531967,0.345486,0x191,8,02 00 00 A1 A1 02 7F 0D
1778594531.841172,1867095.532880,1867095.531968,0.345564,0x1DC,7,02 02 E0 00 00 00 2A
1778594531.841196,1867095.532904,1867095.531970,0.345588,0x1ED,3,01 FF 2B
1778594531.841218,1867095.532926,1867095.531971,0.345610,0x1AB,3,00 03 3C
1778594531.841272,1867095.532981,1867095.531973,0.345665,0x91,8,80 33 88 06 06 00 00 31
1778594531.841316,1867095.533024,1867095.531974,0.345708,0x1A4,8,01 88 00 00 00 00 00 35
1778594531.841378,1867095.533086,1867095.531976,0.345770,0x45B,2,00 04
1778594531.841402,1867095.533110,1867095.531977,0.345795,0x1B0,7,80 0F 00 00 00 01 31
1778594531.841448,1867095.533156,1867095.531979,0.345840,0x1FB,1,0D
1778594531.841471,1867095.533179,1867095.531980,0.345863,0x1D0,8,00 00 00 00 00 00 00 0A
1778594531.841522,1867095.533230,1867095.531982,0.345914,0x1EA,8,00 00 00 00 00 00 00 3C
1778594531.841588,1867095.533296,1867095.531983,0.345981,0x1AC,8,7F FF 00 00 00 00 00 3A
1778594531.841616,1867095.533324,1867095.531984,0.346008,0x255,8,00 00 00 00 55 55 89 CD
1778594531.841723,1867095.533432,1867095.531993,0.346116,0x1A6,8,00 00 44 15 B8 01 00 05
1778594531.841929,1867095.533637,1867095.532024,0.346321,0x221,4,21 00 00 3D
1778594531.841955,1867095.533663,1867095.532025,0.346347,0x294,8,00 16 01 00 2A 43 00 3B
1778594531.841980,1867095.533688,1867095.532027,0.346372,0x295,4,00 00 00 35
1778594531.842148,1867095.533856,1867095.532050,0.346540,0x305,7,80 14 00 00 00 00 12
1778594531.842327,1867095.534035,1867095.532072,0.346719,0x320,8,00 00 00 00 00 00 00 12
1778594531.842363,1867095.534071,1867095.532073,0.346755,0x324,8,7D 71 42 1D 00 00 00 1E
1778594531.842422,1867095.534130,1867095.532075,0.346814,0x328,8,00 00 00 00 00 80 00 4F
1778594531.842583,1867095.534291,1867095.532096,0.346975,0x309,8,00 00 00 00 00 00 00 48
1778594531.842644,1867095.534352,1867095.532097,0.347037,0x372,2,20 0A
1778594531.842670,1867095.534378,1867095.532099,0.347063,0x374,7,56 00 00 00 00 00 0F
