time_wall,time_perf,arrival_perf,rel_time,trigger_can_id,vehicle_speed,vehicle_speed_age_ms,gas_pedal,gas_pedal_age_ms,brake_active,brake_active_age_ms,steer_angle,steer_angle_age_ms,wheel_speed_fl,wheel_speed_fl_age_ms,wheel_speed_fr,wheel_speed_fr_age_ms,wheel_speed_rl,wheel_speed_rl_age_ms,wheel_speed_rr,wheel_speed_rr_age_ms
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,,,0,0.000,,,,,,,,,,,,
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,,,0,0.099,,,,,,,,,,,,
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,,,0,0.169,1,0.000,,,,,,,,,,
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,,,0,0.257,1,0.088,,,,,,,,,,
1778594382.838746,1866946.530454,1866946.529682,0.345217,0x1DC,,,0,0.333,1,0.164,,,,,,,,,,
1778594382.838769,1866946.530477,1866946.529684,0.345241,0x1ED,,,0,0.356,1,0.188,,,,,,,,,,
1778594382.838793,1866946.530501,1866946.529685,0.345264,0x1A6,,,0,0.380,1,0.211,,,,,,,,,,
1778594382.838814,1866946.530523,1866946.529686,0.345286,0x221,,,0,0.402,1,0.233,,,,,,,,,,
1778594382.838837,1866946.530545,1866946.529688,0.345308,0x91,,,0,0.424,1,0.256,,,,,,,,,,
1778594382.838886,1866946.530595,1866946.529689,0.345358,0x294,,,0,0.473,1,0.305,,,,,,,,,,
1778594382.838917,1866946.530625,1866946.529690,0.345388,0x295,,,0,0.504,1,0.336,,,,,,,,,,
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,,,0,0.540,1,0.371,63.7,0.000,,,,,,,,
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,,,0,0.589,1,0.420,63.7,0.049,,,,,,,,
1778594382.839152,1866946.530860,1866946.529700,0.345623,0x1FB,,,0,0.739,1,0.571,63.7,0.199,,,,,,,,
1778594382.839194,1866946.530902,1866946.529702,0.345665,0x1A4,,,0,0.781,1,0.612,63.7,0.241,,,,,,,,
1778594382.839280,1866946.530988,1866946.529704,0.345751,0x1B0,,,0,0.867,1,0.698,63.7,0.327,,,,,,,,
1778594382.839331,1866946.531039,1866946.529705,0.345803,0x1D0,,,0,0.918,1,0.750,63.7,0.378,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000
1778594382.839407,1866946.531115,1866946.529708,0.345878,0x1EA,,,0,0.994,1,0.825,63.7,0.454,0.0,0.075,0.0,0.075,0.0,0.075,0.0,0.075
1778594382.839472,1866946.531180,1866946.529709,0.345943,0x1AC,,,0,1.059,1,0.891,63.7,0.519,0.0,0.141,0.0,0.141,0.0,0.141,0.0,0.141
1778594382.839512,1866946.531220,1866946.529711,0.345984,0x255,,,0,1.099,1,0.931,63.7,0.560,0.0,0.181,0.0,0.181,0.0,0.181,0.0,0.181
1778594382.839712,1866946.531420,1866946.529720,0.346183,0x305,,,0,1.299,1,1.130,63.7,0.759,0.0,0.380,0.0,0.380,0.0,0.380,0.0,0.380
1778594382.839905,1866946.531613,1866946.529732,0.346376,0x39,,,0,1.492,1,1.324,63.7,0.952,0.0,0.574,0.0,0.574,0.0,0.574,0.0,0.574
1778594382.840040,1866946.531748,1866946.529743,0.346512,0x406,,,0,1.627,1,1.459,63.7,1.088,0.0,0.709,0.0,0.709,0.0,0.709,0.0,0.709
1778594382.840383,1866946.532091,1866946.529782,0.346854,0x372,,,0,1.970,1,1.802,63.7,1.430,0.0,1.052,0.0,1.052,0.0,1.052,0.0,1.052
1778594382.840423,1866946.532132,1866946.529783,0.346895,0x309,0.0,0.000,0,2.011,1,1.842,63.7,1.471,0.0,1.092,0.0,1.092,0.0,1.092,0.0,1.092
1778594382.840488,1866946.532196,1866946.529784,0.346959,0x374,0.0,0.064,0,2.075,1,1.906,63.7,1.535,0.0,1.157,0.0,1.157,0.0,1.157,0.0,1.157
1778594382.840591,1866946.532299,1866946.529787,0.347062,0x396,0.0,0.167,0,2.178,1,2.009,63.7,1.638,0.0,1.260,0.0,1.260,0.0,1.260,0.0,1.260
