time_wall,time_perf,arrival_perf,rel_time,trigger_can_id,vehicle_speed,vehicle_speed_age_ms,gear,gear_age_ms,gas_pedal,gas_pedal_age_ms,brake_active,brake_active_age_ms,steer_angle,steer_angle_age_ms,wheel_speed_fl,wheel_speed_fl_age_ms,wheel_speed_fr,wheel_speed_fr_age_ms,wheel_speed_rl,wheel_speed_rl_age_ms,wheel_speed_rr,wheel_speed_rr_age_ms
1778594531.840753,1867095.532461,1867095.531932,0.345146,0x39,,,,,,,,,,,,,,,,,,
1778594531.840812,1867095.532520,1867095.531955,0.345204,0x156,,,,,,,,,3.6,0.000,,,,,,,,
1778594531.840902,1867095.532610,1867095.531961,0.345294,0x130,,,,,0,0.000,,,3.6,0.090,,,,,,,,
1778594531.840961,1867095.532669,1867095.531963,0.345353,0x158,,,,,0,0.059,,,3.6,0.148,,,,,,,,
1778594531.841021,1867095.532729,1867095.531965,0.345414,0x17C,,,,,0,0.119,1,0.000,3.6,0.209,,,,,,,,
1778594531.841094,1867095.532802,1867095.531967,0.345486,0x191,,,2,0.000,0,0.192,1,0.073,3.6,0.282,,,,,,,,
1778594531.841172,1867095.532880,1867095.531968,0.345564,0x1DC,,,2,0.078,0,0.270,1,0.150,3.6,0.360,,,,,,,,
1778594531.841196,1867095.532904,1867095.531970,0.345588,0x1ED,,,2,0.102,0,0.294,1,0.175,3.6,0.384,,,,,,,,
1778594531.841218,1867095.532926,1867095.531971,0.345610,0x1AB,,,2,0.124,0,0.316,1,0.197,3.6,0.406,,,,,,,,
1778594531.841272,1867095.532981,1867095.531973,0.345665,0x91,,,2,0.179,0,0.370,1,0.251,3.6,0.460,,,,,,,,
1778594531.841316,1867095.533024,1867095.531974,0.345708,0x1A4,,,2,0.222,0,0.414,1,0.294,3.6,0.503,,,,,,,,
1778594531.841378,1867095.533086,1867095.531976,0.345770,0x45B,,,2,0.284,0,0.476,1,0.357,3.6,0.566,,,,,,,,
1778594531.841402,1867095.533110,1867095.531977,0.345795,0x1B0,,,2,0.308,0,0.500,1,0.381,3.6,0.590,,,,,,,,
1778594531.841448,1867095.533156,1867095.531979,0.345840,0x1FB,,,2,0.354,0,0.546,1,0.427,3.6,0.636,,,,,,,,
1778594531.841471,1867095.533179,1867095.531980,0.345863,0x1D0,,,2,0.377,0,0.569,1,0.450,3.6,0.659,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000
1778594531.841522,1867095.533230,1867095.531982,0.345914,0x1EA,,,2,0.428,0,0.620,1,0.500,3.6,0.710,0.0,0.050,0.0,0.050,0.0,0.050,0.0,0.050
1778594531.841588,1867095.533296,1867095.531983,0.345981,0x1AC,,,2,0.494,0,0.686,1,0.567,3.6,0.776,0.0,0.117,0.0,0.117,0.0,0.117,0.0,0.117
1778594531.841616,1867095.533324,1867095.531984,0.346008,0x255,,,2,0.522,0,0.714,1,0.595,3.6,0.804,0.0,0.145,0.0,0.145,0.0,0.145,0.0,0.145
1778594531.841723,1867095.533432,1867095.531993,0.346116,0x1A6,,,2,0.630,0,0.822,1,0.702,3.6,0.911,0.0,0.252,0.0,0.252,0.0,0.252,0.0,0.252
1778594531.841929,1867095.533637,1867095.532024,0.346321,0x221,,,2,0.835,0,1.027,1,0.907,3.6,1.117,0.0,0.458,0.0,0.458,0.0,0.458,0.0,0.458
1778594531.841955,1867095.533663,1867095.532025,0.346347,0x294,,,2,0.861,0,1.053,1,0.934,3.6,1.143,0.0,0.484,0.0,0.484,0.0,0.484,0.0,0.484
1778594531.841980,1867095.533688,1867095.532027,0.346372,0x295,,,2,0.886,0,1.078,1,0.959,3.6,1.168,0.0,0.509,0.0,0.509,0.0,0.509,0.0,0.509
1778594531.842148,1867095.533856,1867095.532050,0.346540,0x305,,,2,1.054,0,1.246,1,1.126,3.6,1.336,0.0,0.677,0.0,0.677,0.0,0.677,0.0,0.677
1778594531.842327,1867095.534035,1867095.532072,0.346719,0x320,,,2,1.233,0,1.425,1,1.305,3.6,1.515,0.0,0.855,0.0,0.855,0.0,0.855,0.0,0.855
1778594531.842363,1867095.534071,1867095.532073,0.346755,0x324,,,2,1.269,0,1.461,1,1.341,3.6,1.551,0.0,0.892,0.0,0.892,0.0,0.892,0.0,0.892
1778594531.842422,1867095.534130,1867095.532075,0.346814,0x328,,,2,1.328,0,1.520,1,1.401,3.6,1.610,0.0,0.951,0.0,0.951,0.0,0.951,0.0,0.951
1778594531.842583,1867095.534291,1867095.532096,0.346975,0x309,0.0,0.000,2,1.489,0,1.681,1,1.562,3.6,1.771,0.0,1.112,0.0,1.112,0.0,1.112,0.0,1.112
1778594531.842644,1867095.534352,1867095.532097,0.347037,0x372,0.0,0.061,2,1.551,0,1.742,1,1.623,3.6,1.832,0.0,1.173,0.0,1.173,0.0,1.173,0.0,1.173
1778594531.842670,1867095.534378,1867095.532099,0.347063,0x374,0.0,0.087,2,1.577,0,1.768,1,1.649,3.6,1.858,0.0,1.199,0.0,1.199,0.0,1.199,0.0,1.199
1778594531.842733,1867095.534441,1867095.532100,0.347126,0x37B,0.0,0.150,2,1.639,0,1.831,1,1.712,3.6,1.921,0.0,1.262,0.0,1.262,0.0,1.262,0.0,1.262
1778594531.842783,1867095.534492,1867095.532102,0.347176,0x396,0.0,0.201,2,1.690,0,1.882,1,1.762,3.6,1.971,0.0,1.312,0.0,1.312,0.0,1.312,0.0,1.312
1778594531.843422,1867095.535130,1867095.532198,0.347814,0x406,0.0,0.839,2,2.328,0,2.520,1,2.400,3.6,2.610,0.0,1.951,0.0,1.951,0.0,1.951,0.0,1.951
1778594531.843826,1867095.535534,1867095.532263,0.348218,0x3D7,0.0,1.243,2,2.732,0,2.924,1,2.805,3.6,3.014,0.0,2.355,0.0,2.355,0.0,2.355,0.0,2.355
1778594531.843861,1867095.535569,1867095.532265,0.348254,0x551,0.0,1.278,2,2.768,0,2.959,1,2.840,3.6,3.049,0.0,2.390,0.0,2.390,0.0,2.390,0.0,2.390
1778594531.941384,1867095.633093,1867095.632949,0.445777,0x1D0,0.0,98.802,2,100.291,0,100.482,1,100.363,3.6,100.572,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000
